[2025-08-18 17:24:03] === Starting Large Orgs Bucket 1 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket1.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket1.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:31:28]   OK aws/amazon-network-policy-controller-k8s: 1 commits, 48 PRs
[2025-08-18 17:31:30]   OK aws/amazon-chime-sdk-js: 0 commits, 78 PRs
[2025-08-18 17:31:32]   OK aws/sagemaker-image-builder: 1 commits, 5 PRs
[2025-08-18 17:31:35]   OK aws/sagemaker-example-notebooks-testing: 1 commits, 37 PRs
[2025-08-18 17:31:38]   OK aws/aws-xray-sdk-java: 0 commits, 93 PRs
[2025-08-18 17:31:40]   OK aws/clock-bound: 2 commits, 19 PRs
[2025-08-18 17:31:43]   OK aws/aws-iot-device-sdk-python: 0 commits, 31 PRs
[2025-08-18 17:31:46]   OK aws/integrations-on-dotnet-aspire-for-aws: 1 commits, 93 PRs
[2025-08-18 17:31:49]   OK aws/aws-sdk-pandas: 2 commits, 75 PRs
[2025-08-18 17:31:51]   OK aws/Unified-Studio-for-Amazon-Sagemaker: 2 commits, 21 PRs
[2025-08-18 17:31:54]   OK aws/aws-dotnet-extensions-configuration: 0 commits, 84 PRs
[2025-08-18 17:31:56]   OK aws/amazon-s3-encryption-client-dotnet: 0 commits, 86 PRs
[2025-08-18 17:31:59]   OK aws/aws-encryption-sdk-c: 0 commits, 69 PRs
[2025-08-18 17:32:01]   OK aws/aws-iot-device-sdk-swift: 1 commits, 36 PRs
[2025-08-18 17:32:04]   OK aws/aws-ebpf-sdk-go: 0 commits, 85 PRs
[2025-08-18 17:32:07]   OK aws/amazon-sagemaker-examples: 0 commits, 77 PRs
[2025-08-18 17:32:09]   OK aws/aws-cloud-map-mcs-controller-for-k8s: 0 commits, 56 PRs
[2025-08-18 17:32:13]   OK aws/aws-graviton-getting-started: 4 commits, 95 PRs
[2025-08-18 17:32:14]   OK aws/libfabric: 0 commits, 4 PRs
[2025-08-18 17:32:18]   OK aws/aws-sdk-go: 7 commits, 91 PRs
[2025-08-18 17:32:20]   OK aws/jsii-runtime-go: 1 commits, 0 PRs
[2025-08-18 17:32:23]   OK aws/aws-msk-iam-sasl-signer-js: 8 commits, 20 PRs
[2025-08-18 17:32:25]   OK aws/aws-extensions-for-dotnet-cli: 0 commits, 89 PRs
[2025-08-18 17:32:29]   OK aws/aws-lambda-go: 0 commits, 85 PRs
[2025-08-18 17:32:31]   OK aws/elastic-load-balancing-tools: 0 commits, 38 PRs
[2025-08-18 17:32:33]   OK aws/aws-msk-iam-sasl-signer-net: 6 commits, 20 PRs
[2025-08-18 17:32:35]   OK aws/aws-bedrock-token-generator-python: 1 commits, 4 PRs
[2025-08-18 17:32:37]   OK aws/aws-dotnet-messaging: 3 commits, 70 PRs
[2025-08-18 17:32:40]   OK aws/aws-encryption-sdk-java: 0 commits, 17 PRs
[2025-08-18 17:32:43]   OK aws/aws-xray-sdk-node: 0 commits, 88 PRs
[2025-08-18 17:32:45]   OK aws/aws-nitro-enclaves-k8s-device-plugin: 1 commits, 15 PRs
[2025-08-18 17:32:48]   OK aws/eks-pod-identity-agent: 1 commits, 62 PRs
[2025-08-18 17:32:50]   OK aws/boto3-s3-access-grants-plugin: 10 commits, 20 PRs
[2025-08-18 17:32:52]   OK aws/aws-bedrock-token-generator-java: 1 commits, 4 PRs
