[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:29:53]   OK telekom/kong-plugin-jwt-keycloak: 1 commits, 3 PRs
[2025-08-18 17:29:55]   OK telekom/codecharta: 20 commits, 0 PRs
[2025-08-18 17:29:57]   OK telekom/KittenTTS: 3 commits, 0 PRs
[2025-08-18 17:29:58]   OK telekom/Tasks.md: 23 commits, 0 PRs
[2025-08-18 17:30:00]   OK telekom/HRM: 5 commits, 0 PRs
[2025-08-18 17:30:04]   OK telekom/scale: 1 commits, 75 PRs
[2025-08-18 17:30:06]   OK telekom/coze-studio: 66 commits, 0 PRs
[2025-08-18 17:30:08]   OK telekom/gateway-kong-fork: 0 commits, 0 PRs
[2025-08-18 17:30:10]   OK telekom/mb-netmgmt: 13 commits, 11 PRs
[2025-08-18 17:30:11]   OK telekom/workflows: 1 commits, 0 PRs
[2025-08-18 17:30:12] Processing org 5/13: Deutsche Telekom (telekom-mms)
[2025-08-18 17:30:18]   OK telekom-mms/terraform-azurerm-log-analytics: 0 commits, 12 PRs
[2025-08-18 17:30:20]   OK telekom-mms/terraform-azurerm-app-service: 0 commits, 13 PRs
[2025-08-18 17:30:22]   OK telekom-mms/terraform-azurerm-storage: 0 commits, 23 PRs
[2025-08-18 17:30:24]   OK telekom-mms/gitlab-credential-scanner: 2 commits, 66 PRs
[2025-08-18 17:30:26]   OK telekom-mms/terraform-azurerm-dns: 0 commits, 18 PRs
[2025-08-18 17:30:28]   OK telekom-mms/terraform-azurerm-cdn: 0 commits, 16 PRs
[2025-08-18 17:30:31]   OK telekom-mms/ansible-collection-icinga-director: 14 commits, 91 PRs
[2025-08-18 17:30:33]   OK telekom-mms/terraform-azurerm-management: 0 commits, 12 PRs
[2025-08-18 17:30:36]   OK telekom-mms/webex-notifier: 15 commits, 100 PRs
