org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description
shopify,editions-dev-2024-workshop-hydrogen,1,2,1,2025-02-12,-1,Editions.dev 2024 Hydrogen workshop
shopify,editions-dev-2k-variants,0,2,0,2024-06-14,-1,Demonstration app to show REST migration
shopify,listen,0,0,1,2024-06-17,-1,The Listen gem listens to file modifications and notifies you about the changes.
shopify,editions-dev-2024-workshop-extensibility,0,7,1,2024-06-11,-1,app to be used for editions.dev workshop
shopify,editions-dev-2024-workshop-customer-account,1,3,0,2024-09-11,-1,Editions.dev 2024 customer account workshop
shopify,twirp-ruby,2,0,0,2024-09-19,-1,Twirp services in Ruby
shopify,example-checkout--address-autocomplete--js,0,2,0,2024-08-07,-1,Code example used for Address Autocomplete tutorial
shopify,catchpoint-prometheus-exporter,1,0,0,2024-06-13,-1,
shopify,agi,1,0,1,2024-07-06,-1,A Hack Days experiment in AGI
shopify,rb-inotify-1,0,0,0,2024-05-19,-1,A thorough inotify wrapper for Ruby using FFI.
shopify,hypertest,1,1,1,2024-08-16,-1,run tests fast
shopify,tutorial-discount-functions-with-remix,0,11,3,2024-09-12,-1,Build a discount with GraphQL tutorial
shopify,shop-minis-ui-extensions,3,3,7,2025-04-30,-1,Reusable Minis UI Extensions Components for the Shop Minis Platform
shopify,metaflow,1,0,4,2024-08-30,-1,":rocket: Build and manage real-life ML, AI, and data science projects with ease!"
shopify,octokit.rb-1,0,0,0,2024-07-18,-1,Ruby toolkit for the GitHub API
shopify,webrick,0,0,1,2024-07-23,-1,HTTP server toolkit
shopify,grpc_fork_safety,3,5,2,2025-08-04,-1,
shopify,open-webui,2,0,1,2024-08-30,-1,User-friendly WebUI for LLMs (Formerly Ollama WebUI)
shopify,active_merchant,1,4,2,2024-08-02,-1,Active Merchant is a simple payment abstraction library extracted from Shopify. The aim of the project is to feel natural to Ruby users and to abstract as many parts as possible away from the user to offer a consistent interface across all supported gateways.
shopify,example-checkout--format-suggestion--js,0,1,0,2024-08-14,-1,Example tutorial code for format suggestion
shopify,aws-sdk-ruby,1,0,2,2024-09-06,-1,The official AWS SDK for Ruby.
shopify,clickhouse-rs,1,0,1,2024-08-30,-1,Asynchronous ClickHouse client library for Rust programming language.
shopify,lz4-flex-rb,7,9,1,2025-08-12,-1,Modern LZ4 for Ruby
shopify,tophat,1,784,29,2025-08-11,-1,Easily install and test mobile applications with a single click.
shopify,apache-kafka,1,1,1,2025-06-10,-1,Fork of Apache Kafka
shopify,hack-the-north-scavenger-hunt,0,2,0,2024-09-14,-1,A digital scavenger hunt created for Hack the North 2024
shopify,bazel-toolchain,0,0,1,2024-09-19,-1,LLVM toolchain for bazel
shopify,twirp-ruby-1,1,0,0,2024-09-19,-1,Twirp services in Ruby
shopify,subscriptions-reference-app,0,127,26,2025-07-17,-1,Shopify Subscriptions Reference app
shopify,ruby-spanner-activerecord,1,0,0,2024-10-21,-1,Spanner<->ActiveRecord adapter for Ruby
shopify,rbs,4,1,2,2025-07-25,-1,Type Signature for Ruby
shopify,opentelemetry-instrumentation-grpc,2,0,0,2024-10-25,-1,
shopify,faiss-ruby,0,1,1,2025-08-02,-1,Efficient similarity search and clustering for Ruby
shopify,profiler,3,1,0,2025-04-15,-1,Firefox Profiler — Web app for Firefox performance analysis
shopify,example-discount-function-settings-extension,2,1,2,2024-11-08,-1,A sample discount function settings extension
shopify,mcliquid-theme,1,14,11,2025-03-25,-1,A liquid theme to demo platform capabilities
shopify,vscode-shopify-dev-assistant,2,5,3,2025-06-03,-1,A VSCode Copilot chat extension for the shopify.dev assistant
shopify,loyalty-extension-example,4,0,2,2025-01-22,-1,Tutorial code on Shopify-dev
shopify,json-1,0,0,0,2024-11-29,-1,JSON implementation for Ruby
shopify,liquid-docs-code-samples,0,3,1,2025-05-19,-1,Code samples used in Shopify.dev Liquid tutorials
shopify,irb,0,1,0,2025-01-20,-1,interactive Ruby
shopify,zincsearch,5,1,2,2025-03-12,5,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go."
shopify,zincsearch-1,6,1,1,2025-03-12,6,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go."
shopify,gltf-compressor,0,297,9,2025-08-08,0,The easiest way to compress glTF files!
shopify,loupe,0,12,2,2025-05-13,0,Type analysis of a simplified Ruby-like IR
shopify,kubernetes-sample-apps,6,1,1,2025-03-21,6,Example DigitalOcean Kubernetes workload with service exposed through a DO load-balancer.
shopify,debezium-connector-yugabytedb,1,0,0,2025-08-11,1,A Debezium CDC connector for the YugabyteDB database 
shopify,zjit,7,2,0,2025-05-14,4,"Next-gen Ruby JIT, now in upstream CRuby"
shopify,minitest-difftastic,0,1,0,2025-02-11,0,Minitest Plugin to use difftastic for failed assertions.
shopify,discounts-reference-app,5,4,1,2025-07-29,3,A collection of discount sample apps.
shopify,gh-ost,1,1,1,2025-08-07,1,GitHub's Online Schema-migration Tool for MySQL
shopify,shopify-function-wasm-api,10,6,0,2025-08-12,10,A WebAssembly programming interface for Shopify Functions
shopify,yugabyte-db,5,0,2,2025-07-14,5,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.
shopify,json-rpc-handler,2,6,4,2025-08-11,2,"A lightweight, fully spec-compliant handler for JSON-RPC 2.0 requests"
shopify,dev-mcp,28,464,52,2025-08-12,17,Shopify.dev MCP server
shopify,jest-junit,1,2,1,2025-06-03,1,A Jest reporter that creates compatible junit xml files
shopify,pipeline-studio-app,2,2,2,2025-07-22,2,WIP: Cloud Pipelines Editor is a web app that allows the users to build and run Machine Learning pipelines without having to set up development environment.
