org,repo,hyperlink,commits_last_30d,PRs_closed_30d,source,health_score
tencent,tdesign-miniprogram,https://github.com/Tencent/tdesign-miniprogram,13,87,LARGE_BUCKET1,187
datadog,datadog-secret-backend,https://github.com/DataDog/datadog-secret-backend,13,87,LARGE_BUCKET4,187
dell,dell-csi-extensions,https://github.com/dell/dell-csi-extensions,3,92,LARGE_BUCKET2,187
nvidia,physicsnemo-sym,https://github.com/NVIDIA/physicsnemo-sym,5,91,LARGE_BUCKET1,187
ibm,platform-services-python-sdk,https://github.com/IBM/platform-services-python-sdk,3,92,IBM,187
intel,AI-PC-Samples,https://github.com/intel/AI-PC-Samples,11,88,LARGE_BUCKET2,187
microsoft,vscode-azurevirtualmachines,https://github.com/microsoft/vscode-azurevirtualmachines,1,93,MICROSOFT,187
ibm,go-sdk-core,https://github.com/IBM/go-sdk-core,3,92,IBM,187
datadog,lading,https://github.com/DataDog/lading,23,82,LARGE_BUCKET4,187
microsoft,vscode-extension-telemetry,https://github.com/microsoft/vscode-extension-telemetry,1,93,MICROSOFT,187
sap,redis-operator,https://github.com/SAP/redis-operator,3,92,LARGE_BUCKET2,187
vmware,terraform-provider-vmc,https://github.com/vmware/terraform-provider-vmc,1,93,LARGE_BUCKET2,187
microsoft,msticpy,https://github.com/microsoft/msticpy,5,91,MICROSOFT,187
shopify,yjit-bench,https://github.com/Shopify/yjit-bench,9,89,LARGE_BUCKET3,187
microsoft,vscode-spring-boot-dashboard,https://github.com/microsoft/vscode-spring-boot-dashboard,1,93,MICROSOFT,187
crowdstrike,commitlint,https://github.com/CrowdStrike/commitlint,7,90,LARGE_BUCKET4,187
microsoft,Tutel,https://github.com/microsoft/Tutel,5,91,MICROSOFT,187
crowdstrike,terraform-provider-crowdstrike,https://github.com/CrowdStrike/terraform-provider-crowdstrike,15,86,LARGE_BUCKET4,187
justeattakeaway,JustSaying,https://github.com/justeattakeaway/JustSaying,13,87,SMALL_ORGS,187
paypal,paypal-android,https://github.com/paypal/paypal-android,1,93,LARGE_BUCKET3,187
facebook,react-native-devtools-frontend,https://github.com/facebook/react-native-devtools-frontend,5,91,META,187
aws,integrations-on-dotnet-aspire-for-aws,https://github.com/aws/integrations-on-dotnet-aspire-for-aws,1,93,LARGE_BUCKET1,187
microsoft,durabletask-netherite,https://github.com/microsoft/durabletask-netherite,5,91,MICROSOFT,187
oracle,opengrok,https://github.com/oracle/opengrok,0,93,LARGE_BUCKET2,186
oracle,docker-images,https://github.com/oracle/docker-images,10,88,LARGE_BUCKET2,186
palantir,godel-okgo-asset-deadcode,https://github.com/palantir/godel-okgo-asset-deadcode,0,93,LARGE_BUCKET4,186
intel,tee-io-validator,https://github.com/intel/tee-io-validator,6,90,LARGE_BUCKET2,186
microsoft,playwright.dev,https://github.com/microsoft/playwright.dev,20,83,MICROSOFT,186
palantir,conjure-java-runtime,https://github.com/palantir/conjure-java-runtime,0,93,LARGE_BUCKET4,186
microsoft,fluentui-blazor,https://github.com/microsoft/fluentui-blazor,0,93,MICROSOFT,186
ocadotechnology,codeforlife-portal,https://github.com/ocadotechnology/codeforlife-portal,0,93,SMALL_ORGS,186
snowflakedb,pdo_snowflake,https://github.com/snowflakedb/pdo_snowflake,0,93,SMALL_ORGS,186
palantir,godel,https://github.com/palantir/godel,0,93,LARGE_BUCKET4,186
pinterest,singer,https://github.com/pinterest/singer,0,93,SMALL_ORGS,186
palantir,godel-okgo-asset-golint,https://github.com/palantir/godel-okgo-asset-golint,0,93,LARGE_BUCKET4,186
nvidia,cuCollections,https://github.com/NVIDIA/cuCollections,0,93,LARGE_BUCKET1,186
google,mozc,https://github.com/google/mozc,0,93,GOOGLE,186
datadog,java-profiler,https://github.com/DataDog/java-profiler,22,82,LARGE_BUCKET4,186
microsoft,BitBLAS,https://github.com/microsoft/BitBLAS,0,93,MICROSOFT,186
datadog,dd-sdk-flutter,https://github.com/DataDog/dd-sdk-flutter,0,93,LARGE_BUCKET4,186
google,nomulus,https://github.com/google/nomulus,0,93,GOOGLE,186
google,cel-spec,https://github.com/google/cel-spec,0,93,GOOGLE,186
datadog,dd-license-attribution,https://github.com/DataDog/dd-license-attribution,12,87,LARGE_BUCKET4,186
dell,dkms,https://github.com/dell/dkms,4,91,LARGE_BUCKET2,186
