org_name,repo_name,issue_title,comments_count,labels,opened_date,hyperlink
shopify,flash-list,"TypeError: _b.call is not a function (it is undefined), js engine: hermes",6,bug,2025-06-12,https://github.com/shopify/flash-list/issues/1720
shopify,flash-list,Simultaneous Gestures (RNGH) .Pan() + .Native() not working together w/ FlashList,0,bug,2025-06-20,https://github.com/shopify/flash-list/issues/1744
shopify,flash-list,[v2] maintainVisibleContentPosition - there is no way to disable scroll animation,2,"bug, v2.0",2025-06-05,https://github.com/shopify/flash-list/issues/1698
shopify,flash-list,Flashlist crashes expo web,4,"bug, v2.0",2025-06-04,https://github.com/shopify/flash-list/issues/1697
shopify,flash-list,Unresolved reference 'eventData'.,2,bug,2025-06-17,https://github.com/shopify/flash-list/issues/1739
shopify,flash-list,scrollToIndex stops working,2,"bug, v2.0",2025-06-06,https://github.com/shopify/flash-list/issues/1709
shopify,flash-list,List auto scrolls with autoscrollToBottomThreshold: undefined or -1,0,bug,2025-06-16,https://github.com/shopify/flash-list/issues/1736
shopify,flash-list,focus jumping and list disappears when scrolling in AndroidTV/FireTV/AppleTV,2,bug,2025-06-09,https://github.com/shopify/flash-list/issues/1716
shopify,flash-list,don't auto scroll to bottom when use maintainVisibleContentPosition,1,bug,2025-06-14,https://github.com/shopify/flash-list/issues/1727
shopify,flash-list,[Bug] [V2] scrollToTop when reaching the bottom of list,3,bug,2025-06-13,https://github.com/shopify/flash-list/issues/1723
shopify,flash-list,Waterfall Layout with Severe Jumping Issues,1,"bug, v2.0",2025-06-12,https://github.com/shopify/flash-list/issues/1719
shopify,flash-list,"Masonry Layout Renders as Rows, Not Columns",2,bug,2025-06-12,https://github.com/shopify/flash-list/issues/1721
shopify,flash-list,[Bug] [v2] `startRenderingFromBottom` conflicts with `ListEmptyComponent `,0,"bug, v2.0",2025-06-06,https://github.com/shopify/flash-list/issues/1711
shopify,flash-list,[v2] `CellRendererComponent` is not working on FlashList 2.0.0-rc.4,4,"bug, v2.0",2025-06-07,https://github.com/shopify/flash-list/issues/1712
shopify,flash-list,[V2] List items not rendering when using React.StrictMode,4,"bug, P1, v2.0",2025-05-20,https://github.com/shopify/flash-list/issues/1669
shopify,flash-list,"[bug] [v2] scrollToIndex causes visual blink before scroll on iOS (Expo SDK 53, iOS 17.7.2)",7,"bug, v2.0",2025-06-03,https://github.com/shopify/flash-list/issues/1696
shopify,flash-list,"[Bug] [v2] """"contentContainerStyle"""" prop shows error when passing a """"ViewStyle"""" value",1,"bug, v2.0",2025-05-31,https://github.com/shopify/flash-list/issues/1683
shopify,flash-list,False postive error: stickyHeaderIndices out of bounds,3,"bug, P0, v2.0",2025-05-29,https://github.com/shopify/flash-list/issues/1682
shopify,flash-list,[Bug] [v2] Changing item span does not work correctly when updating data,4,"bug, P0, v2.0",2025-05-29,https://github.com/shopify/flash-list/issues/1681
shopify,flash-list,"[Bug] [v2] When pagination is triggered in both directions, autoscroll to bottom doesn't work",0,"bug, P1, v2.0",2025-05-23,https://github.com/shopify/flash-list/issues/1671
shopify,flash-list,"[Bug] [v2] Only the first 8 items are showing in the list, the rest never show...",5,"bug, v2.0",2025-05-28,https://github.com/shopify/flash-list/issues/1680
shopify,flash-list,Any change in stickyHeaderIndices causes a bug.,3,"bug, v2.0",2025-05-28,https://github.com/shopify/flash-list/issues/1677
