company;github_org;repo;hyperlink;last_commit;days_since_commit;activity_status;stars;language;is_fork;is_archived
Microsoft;microsoft;api-guidelines;https://github.com/microsoft/api-guidelines;2025-08-11;6;Very Active;23064;;False;False
Microsoft;microsoft;vscode-python-web-wasm;https://github.com/microsoft/vscode-python-web-wasm;2025-08-18;0;Very Active;89;Python;False;False
Microsoft;microsoft;fast;https://github.com/microsoft/fast;2025-08-18;0;Very Active;9508;TypeScript;False;False
Microsoft;microsoft;Foundry-Local;https://github.com/microsoft/Foundry-Local;2025-08-06;12;Active;580;C#;False;False
Microsoft;microsoft;connected-workbooks;https://github.com/microsoft/connected-workbooks;2025-08-18;0;Very Active;68;TypeScript;False;False
Microsoft;microsoft;rust-guidelines;https://github.com/microsoft/rust-guidelines;2025-08-18;0;Very Active;7;Rust;False;False
Microsoft;microsoft;SynapseML;https://github.com/microsoft/SynapseML;2025-08-14;3;Very Active;5159;Scala;False;False
Microsoft;microsoft;openjdk-jdk;https://github.com/microsoft/openjdk-jdk;2025-08-18;0;Very Active;29;Java;True;False
Microsoft;microsoft;pylance-release;https://github.com/microsoft/pylance-release;2025-08-14;4;Very Active;1885;Python;False;False
Microsoft;microsoft;TRELLIS;https://github.com/microsoft/TRELLIS;2025-08-05;13;Active;10350;Python;False;False
Microsoft;microsoft;vscode-mssql;https://github.com/microsoft/vscode-mssql;2025-08-18;0;Very Active;1737;TypeScript;False;False
Microsoft;microsoft;Power-CAT-Copilot-Studio-Kit;https://github.com/microsoft/Power-CAT-Copilot-Studio-Kit;2025-08-18;0;Very Active;197;JavaScript;False;False
Microsoft;microsoft;VS-Code-Dev-Days;https://github.com/microsoft/VS-Code-Dev-Days;2025-08-15;2;Very Active;33;;False;False
Microsoft;microsoft;STL;https://github.com/microsoft/STL;2025-08-18;0;Very Active;10754;C++;False;False
Microsoft;microsoft;CopilotAdventures;https://github.com/microsoft/CopilotAdventures;2025-07-30;18;Active;382;JavaScript;False;False
Microsoft;microsoft;CopilotStudioSamples;https://github.com/microsoft/CopilotStudioSamples;2025-08-17;0;Very Active;530;HTML;False;False
Microsoft;microsoft;copilot-camp;https://github.com/microsoft/copilot-camp;2025-08-15;2;Very Active;315;TypeScript;False;False
Microsoft;microsoft;MarS;https://github.com/microsoft/MarS;2025-08-06;11;Active;1456;Python;False;False
Microsoft;microsoft;RulesEngine;https://github.com/microsoft/RulesEngine;2025-08-12;5;Very Active;4016;C#;False;False
Microsoft;microsoft;pxt-microbit;https://github.com/microsoft/pxt-microbit;2025-08-15;2;Very Active;767;TypeScript;False;False
Microsoft;microsoft;onnxruntime-swift-package-manager;https://github.com/microsoft/onnxruntime-swift-package-manager;2025-07-21;27;Active;62;Objective-C++;False;False
Microsoft;microsoft;DirectX-Graphics-Samples;https://github.com/microsoft/DirectX-Graphics-Samples;2025-08-11;6;Very Active;6504;C++;False;False
Microsoft;microsoft;mdatp-xplat;https://github.com/microsoft/mdatp-xplat;2025-08-18;0;Very Active;234;Shell;False;False
Microsoft;microsoft;Modernize-your-code-solution-accelerator;https://github.com/microsoft/Modernize-your-code-solution-accelerator;2025-08-18;0;Very Active;58;Python;False;False
Microsoft;microsoft;GitHub-Copilot-for-Azure;https://github.com/microsoft/GitHub-Copilot-for-Azure;2025-08-14;3;Very Active;69;;False;False
Microsoft;microsoft;vscode-react-native;https://github.com/microsoft/vscode-react-native;2025-08-18;0;Very Active;2689;TypeScript;False;False
Microsoft;microsoft;BiomedParse;https://github.com/microsoft/BiomedParse;2025-08-06;11;Active;536;Jupyter Notebook;False;False
Microsoft;microsoft;sql-server-samples;https://github.com/microsoft/sql-server-samples;2025-08-07;10;Active;10614;;False;False
Microsoft;microsoft;copilot-intellij-feedback;https://github.com/microsoft/copilot-intellij-feedback;2025-07-19;30;Active;58;;False;False
Microsoft;microsoft;Xbox-GDK-Samples;https://github.com/microsoft/Xbox-GDK-Samples;2025-07-25;23;Active;290;C++;False;False
Microsoft;microsoft;SQLCallStackResolver;https://github.com/microsoft/SQLCallStackResolver;2025-08-18;0;Very Active;51;C#;False;False
Microsoft;microsoft;Kusto-Query-Language;https://github.com/microsoft/Kusto-Query-Language;2025-08-15;3;Very Active;617;C#;False;False
Microsoft;microsoft;VirtualClient;https://github.com/microsoft/VirtualClient;2025-08-18;0;Very Active;105;C#;False;False
Microsoft;microsoft;WindowsAppSDK-Samples;https://github.com/microsoft/WindowsAppSDK-Samples;2025-08-14;3;Very Active;847;C++;False;False
Microsoft;microsoft;agenthonseoul2025;https://github.com/microsoft/agenthonseoul2025;2025-08-18;0;Very Active;0;SCSS;False;False
Microsoft;microsoft;onnxruntime-inference-examples;https://github.com/microsoft/onnxruntime-inference-examples;2025-08-12;6;Very Active;1451;C++;False;False
Microsoft;microsoft;DiskANN;https://github.com/microsoft/DiskANN;2025-08-18;0;Very Active;1441;C++;False;False
Microsoft;microsoft;promptpex;https://github.com/microsoft/promptpex;2025-08-07;10;Active;129;TeX;False;False
Microsoft;microsoft;MIDI;https://github.com/microsoft/MIDI;2025-08-18;0;Very Active;413;C++;False;False
Microsoft;microsoft;vidur;https://github.com/microsoft/vidur;2025-07-25;24;Active;421;Python;False;False
Microsoft;microsoft;azure-pipelines-agent;https://github.com/microsoft/azure-pipelines-agent;2025-08-18;0;Very Active;1817;C#;False;False
Microsoft;microsoft;FeatureManagement;https://github.com/microsoft/FeatureManagement;2025-08-18;0;Very Active;9;Java;False;False
